State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
JK,Reasi,314714,6626,43,6575,0,244379,133971
JK,Samba,318611,7152,120,7032,0,280700,122554
JK,Shopiyan,265960,5607,58,5549,0,203036,95122
JK,Srinagar,1269751,75539,846,74242,0,957347,592016
JK,Udhampur,555357,11415,137,11275,0,425945,227785
KA,Bagalkote,1890826,35178,333,34843,49851,1188016,613422
KA,Ballari,2532383,97763,1689,95961,402407,1758198,864065
KA,Belagavi,4778439,79900,938,78879,396565,3165252,1386668
KA,Bengaluru Rural,987257,62005,890,61073,240277,700825,385704
KA,Bengaluru Urban,9588910,1251872,16281,1229059,6883888,9219875,5903791
KA,Bidar,1700018,24340,400,23936,67689,929776,515993
KA,Chamarajanagara,1020962,33001,500,32469,5156,647951,351940
KA,Chikkaballapura,1254377,43951,429,43501,15089,852473,497674
KA,Chikkamagaluru,1137753,51126,395,50662,5467,737417,346002
KA,Chitradurga,1660378,36666,206,36412,4393,1020280,618156
KA,Dakshina Kannada,2083625,115478,1680,113515,131281,1531107,848253
KA,Davanagere,1946905,50989,608,50359,17483,1016827,495371
KA,Dharwad,1846993,60970,1315,59639,137696,1212295,561504
KA,Gadag,1065235,26066,319,25747,8904,691646,328477
KA,Hassan,1776221,111785,1256,110294,10800,1224599,614828
KA,Haveri,1598506,21947,644,21301,11714,999178,383705
KA,Kalaburagi,2564892,61926,819,61087,409596,1323039,641641
KA,Kodagu,554762,37095,329,36616,143982,385482,212033
KA,Kolar,1540231,46916,638,46266,91924,991957,625918
KA,Koppal,1391292,35198,521,34660,8708,814373,411092
KA,Mandya,1808680,73753,650,73029,14874,1189318,659066
KA,Mysuru,2994744,179167,2416,176447,107338,2141764,1239770
KA,Raichur,1924773,39973,331,39641,21011,1021603,448501
KA,Ramanagara,1082739,24204,320,23869,103399,754463,469335
KA,Shivamogga,1755512,69444,1088,68239,48760,1162073,535447
KA,Tumakuru,2681449,120836,1127,119420,106564,1672730,881580
KA,Udupi,1177908,76718,489,76181,86092,919074,529427
KA,Uttara Kannada,1353299,56218,766,55339,13833,980496,505589
KA,Vijayapura,2175102,36267,495,35764,25108,1535235,634270
KA,Yadgir,1172985,27545,207,27337,221485,708887,348094
KL,Alappuzha,2121943,316160,1862,313515,0,1518055,855411
KL,Ernakulam,3279860,602800,3555,583842,0,2953482,1759232
KL,Idukki,1107453,147118,519,140292,237691,859116,481911
KL,Kannur,2525637,275264,2325,269475,392136,1891004,959656
KL,Kasaragod,1302600,138815,617,134824,0,910194,521754
KL,Kollam,2629703,390872,2451,383923,0,1951077,1047951
KL,Kottayam,1979384,322484,1356,315759,0,1477425,841596
KL,Kozhikode,3089543,527346,3374,519030,955060,2341296,1154561
KL,Malappuram,4110956,567584,2576,562111,469850,2833303,1103557
KL,Palakkad,2810892,373839,2881,364351,226562,1989222,950909
KL,Pathanamthitta,1195537,193406,1076,184979,306034,1048352,677224
KL,Thiruvananthapuram,3307284,463977,4996,448304,436661,2578575,1562343
KL,Thrissur,3110327,523260,3575,515481,639055,2295947,1305873
KL,Wayanad,816558,125732,518,121295,211953,659451,436359
LA,Kargil,143000,3619,58,3556,37471,87221,64300
LA,Leh,147000,17343,150,17131,72597,121577,87980
LD,Lakshadweep,64473,10365,51,10270,263541,55129,45951
MH,Ahmednagar,4543083,339457,7043,330122,11077,2468837,881402
MH,Akola,1818617,58764,1425,57318,0,760099,357931
MH,Amravati,2887826,96231,1594,94618,0,1241168,548807
MH,Aurangabad,3695928,155331,4251,150615,11800,1772420,723304
MH,Beed,2585962,103749,2806,100803,111488,1145382,485615
MH,Bhandara,1198810,60080,1123,58945,54195,825867,421585
MH,Buldhana,2588039,85520,797,84710,115874,1136679,512944
MH,Chandrapur,2194262,88968,1560,87387,199809,1335017,458690
MH,Dhule,2048781,46172,654,45501,90092,1007007,476051
MH,Gadchiroli,1071795,30440,669,29735,11993,540319,231208
MH,Gondia,1322331,40519,569,39941,130146,888961,469980
MH,Hingoli,1178973,18475,506,17949,6797,537442,201000
MH,Jalgaon,4224442,139934,2714,137178,429198,2085101,699544
MH,Jalna,1958483,60615,1209,59382,117047,1081253,413822
MH,Kolhapur,3874015,206671,5847,200699,0,2536731,1043329
MH,Latur,2455543,92133,2437,89608,0,1182476,507616
MH,Mumbai,12442373,756749,16247,733318,2789713,9115615,5564204
MH,Nagpur,4653171,493607,9128,484334,382083,3006439,1460890
MH,Nanded,3356566,90409,2658,87721,117319,1560558,560812
MH,Nandurbar,1646177,40006,948,39054,37740,723850,342054
MH,Nashik,6109052,410681,8679,401418,498397,3471046,1299122
MH,Osmanabad,1660311,67828,1963,65577,109450,803192,308210
MH,Palghar,2990116,138013,3282,134309,319724,1869199,678741
MH,Parbhani,1835982,52362,1233,51078,110937,905874,378183
MH,Pune,9426959,1154776,19594,1131401,97127,7843130,4264808
MH,Raigad,2635394,195958,4551,190759,304088,1859507,774913
MH,Ratnagiri,1612672,78950,2478,76292,0,920151,388703
MH,Sangli,2820575,209771,5613,203673,0,1810980,802877
MH,Satara,3003922,250414,6428,243482,312742,1963730,865197
MH,Sindhudurg,848868,52783,1434,50987,0,524896,279051
