State,Date,delta7_Confirmed,delta7_Deceased,delta7_Recovered,delta7_Vaccinated1,delta7_Vaccinated2
AP,2020-09-15,66831,481,70766,0,0
AP,2020-09-16,65248,471,71769,0,0
AP,2020-09-17,63775,475,72441,0,0
AP,2020-09-18,61872,465,73175,0,0
AP,2020-09-19,60189,456,73703,0,0
AP,2020-09-20,58391,447,74180,0,0
AP,2020-09-21,56670,438,74918,0,0
AP,2020-09-22,55377,420,75845,0,0
AP,2020-09-23,53770,401,73291,0,0
AP,2020-09-24,52923,381,71386,0,0
AP,2020-09-25,51900,362,68278,0,0
AP,2020-09-26,50975,361,66583,0,0
AP,2020-09-27,50160,349,63771,0,0
AP,2020-09-28,49412,335,60479,0,0
AP,2020-09-29,48049,319,59760,0,0
AP,2020-09-30,46954,322,58544,0,0
AP,2020-10-01,45850,311,57034,0,0
AP,2020-10-02,45332,294,55824,0,0
AP,2020-10-03,44263,278,54497,0,0
AP,2020-10-04,43582,273,53785,0,0
AP,2020-10-05,42351,274,54133,0,0
AP,2020-10-06,41956,272,50343,0,0
AP,2020-10-07,40943,258,49617,0,0
AP,2020-10-08,39484,259,48422,0,0
AP,2020-10-09,38074,259,47047,0,0
AP,2020-10-10,37503,253,45908,0,0
AP,2020-10-11,36471,243,44333,0,0
AP,2020-10-12,35439,237,42279,0,0
AP,2020-10-13,34266,239,41948,0,0
AP,2020-10-14,33038,233,40649,0,0
AP,2020-10-15,31784,229,40169,0,0
AP,2020-10-16,30606,223,39069,0,0
AP,2020-10-17,28629,212,37939,0,0
AP,2020-10-18,27405,205,37021,0,0
AP,2020-10-19,27099,197,35820,0,0
AP,2020-10-20,25980,190,35249,0,0
AP,2020-10-21,25834,189,34938,0,0
AP,2020-10-22,25416,167,33039,0,0
AP,2020-10-23,25214,162,32310,0,0
AP,2020-10-24,24880,160,30353,0,0
AP,2020-10-25,23891,158,29347,0,0
AP,2020-10-26,22874,153,29016,0,0
AP,2020-10-27,22272,144,28224,0,0
AP,2020-10-28,21475,135,27094,0,0
AP,2020-10-29,20760,135,26614,0,0
AP,2020-10-30,19881,132,25956,0,0
AP,2020-10-31,19322,124,26092,0,0
AP,2020-11-01,18943,119,26016,0,0
AP,2020-11-02,18958,113,25077,0,0
AP,2020-11-03,18906,109,24425,0,0
